player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Orlando Brown Jr.,46227,T,BLT,18,0,3,70.6,100.0,421,73.2,421,73.5,0,100.0,575,575,76.0,100.0,108,18.8,108
Bradley Bozeman,27934,G,BLT,18,0,3,60.7,100.0,415,73.3,415,63.1,0,100.0,566,566,64.9,100.0,107,18.9,107
Erik McCoy,37347,C,NO,18,0,20,70.6,100.0,209,39.0,209,69.9,1,100.0,536,536,65.1,100.0,251,46.8,251
Nate Davis,46808,G,TEN,17,0,31,66.7,100.0,155,29.0,155,73.8,3,100.0,534,534,76.0,100.0,350,65.5,350
J.C. Tretter,7904,C,CLV,18,0,8,64.9,100.0,242,45.7,242,76.5,2,100.0,529,529,75.9,100.0,240,45.4,240
Rob Havenstein,9490,T,LA,18,1,26,55.9,100.0,176,33.9,176,83.9,2,100.0,519,519,93.4,100.0,282,54.3,282
Austin Blythe,10882,C,LA,18,0,26,53.4,100.0,176,33.9,176,74.2,1,100.0,519,519,78.1,100.0,282,54.3,282
Austin Corbett,46290,G,LA,18,0,26,65.1,100.0,176,33.9,176,76.4,1,100.0,519,519,78.1,100.0,282,54.3,282
Dennis Kelly,7146,T,TEN,17,0,31,64.1,100.0,150,29.3,150,65.1,1,100.0,512,512,66.4,100.0,340,66.4,340
Mark Glowinski,9567,G,IND,17,1,14,57.5,100.0,175,34.4,175,63.7,2,100.0,509,509,69.1,100.0,272,53.4,272
Ryan Ramczyk,11787,T,NO,18,0,20,55.8,100.0,201,39.5,201,79.5,1,100.0,509,509,90.5,100.0,240,47.2,240
Ben Jones,7099,C,TEN,17,1,31,67.6,100.0,148,29.1,148,79.3,3,100.0,508,508,85.5,100.0,339,66.7,339
Quenton Nelson,12954,G,IND,17,0,14,69.7,100.0,174,34.7,174,86.0,2,100.0,501,501,86.3,100.0,269,53.7,269
Joel Bitonio,8670,G,CLV,17,0,8,76.5,100.0,233,46.6,233,81.8,0,100.0,500,500,77.5,100.0,223,44.6,223
Tristan Wirfs,64818,T,TB,20,0,30,75.7,100.0,266,53.6,266,77.1,2,100.0,496,496,77.5,100.0,162,32.7,162
Ryan Tannehill,7014,QB,TEN,17,0,31,61.2,100.0,152,31.0,152,60.8,0,95.3,491,515,60.2,97.7,333,67.8,341
Baker Mayfield,46518,QB,CLV,18,0,8,60.0,99.2,237,48.4,239,60.0,0,93.5,490,524,60.0,98.7,235,48.0,238
Ryan Jensen,7985,C,TB,20,0,30,73.5,100.0,263,54.1,263,73.2,0,100.0,486,486,77.7,100.0,160,32.9,160
Elgton Jenkins,46298,G,GB,18,0,12,56.5,100.0,121,25.1,121,61.6,3,100.0,482,482,64.6,100.0,325,67.4,325
Ryan Kelly,10652,C,IND,16,0,14,60.8,100.0,170,35.4,170,66.1,1,100.0,480,480,69.8,100.0,256,53.3,256
Jedrick Wills Jr.,58467,T,CLV,17,0,8,53.0,100.0,216,45.0,216,52.8,2,100.0,480,480,56.9,100.0,224,46.7,224
Jack Conklin,10642,T,CLV,17,0,8,70.9,100.0,216,45.6,216,78.8,1,100.0,474,474,81.0,100.0,218,46.0,218
Garrett Bradbury,46013,C,MIN,16,0,18,66.6,100.0,100,21.3,100,69.4,1,100.0,469,469,74.6,100.0,319,68.0,319
Dakota Dozier,8772,G,MIN,16,0,18,56.0,100.0,100,21.3,100,52.3,1,100.0,469,469,55.2,100.0,319,68.0,319
Joe Thuney,10712,G,NE,16,0,19,75.7,100.0,272,58.0,272,70.2,1,100.0,469,469,63.8,100.0,117,24.9,117
Brian O'Neill,46854,T,MIN,16,0,18,70.8,100.0,100,21.5,100,83.7,2,100.0,465,465,85.3,100.0,317,68.2,317
Philip Rivers,1725,QB,IND,17,0,14,60.9,99.4,166,36.5,167,60.5,0,96.2,455,473,60.0,100.0,259,56.9,259
Kirk Cousins,7102,QB,MIN,16,0,18,60.1,99.0,99,21.9,100,60.0,0,96.6,453,469,60.0,99.4,317,70.0,319
Donovan Smith,9467,T,TB,19,0,30,75.4,100.0,243,53.6,243,72.5,5,100.0,453,453,55.8,100.0,152,33.6,152
Jared Goff,10635,QB,LA,17,0,26,60.2,100.0,161,35.8,161,60.4,0,93.4,450,482,60.5,99.2,259,57.6,261
Laken Tomlinson,9461,G,SF,16,0,28,70.2,100.0,135,30.2,135,80.9,0,100.0,447,447,86.6,100.0,264,59.1,264
Aaron Rodgers,2241,QB,GB,18,0,12,60.0,99.1,116,26.0,117,60.0,0,96.3,446,463,60.0,99.1,318,71.3,321
Forrest Lamp,11793,G,LAC,16,0,27,52.8,100.0,145,32.6,145,42.8,0,100.0,445,445,40.2,100.0,236,53.0,236
Dan Feeney,11826,C,LAC,16,0,27,53.0,100.0,145,32.6,145,47.2,0,100.0,445,445,43.7,100.0,236,53.0,236
Mike McGlinchey,46275,T,SF,16,0,28,71.5,100.0,135,30.4,135,91.3,3,100.0,444,444,92.6,100.0,264,59.5,264
Tyler Higbee,10744,TE,LA,17,0,26,64.9,100.0,153,34.6,153,62.7,2,99.8,442,443,61.9,99.6,239,54.1,240
Mike Onwenu,27357,T,NE,16,0,19,86.4,100.0,255,57.8,255,84.9,1,100.0,441,441,68.0,100.0,108,24.5,108
Daniel Brunskill,34807,C,SF,16,0,28,48.2,100.0,135,30.6,135,65.6,2,100.0,441,441,70.5,100.0,260,59.0,260
Braden Smith,46794,T,IND,15,0,14,57.5,100.0,156,35.7,156,78.2,1,100.0,437,437,89.2,100.0,228,52.2,228
Rodney Hudson,6207,C,LV,16,0,23,66.5,100.0,141,32.3,141,72.7,0,100.0,436,436,72.8,100.0,265,60.8,265
Lucas Patrick,11435,G,GB,18,0,12,61.7,100.0,113,25.9,113,66.1,1,100.0,436,436,64.8,100.0,293,67.2,293
Riley Reiff,7029,T,MIN,15,0,18,59.2,100.0,95,21.8,95,60.8,1,100.0,436,436,59.4,100.0,296,67.9,296
D.J. Humphries,9457,T,ARZ,16,0,1,74.1,100.0,169,38.9,169,90.8,1,100.0,434,434,93.9,100.0,204,47.0,204
Kelvin Beachum,7229,T,ARZ,16,0,1,52.1,100.0,168,38.8,168,59.0,0,100.0,433,433,69.3,100.0,204,47.1,204
