player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Alex Boone,5372,G,SF,19,2,28,62.4,100.0,285,52.3,285,65.1,4,100.0,545,545,,,0,0.0,0
Ryan Wendell,4602,C,NE,18,1,19,60.3,100.0,194,35.7,194,72.3,3,99.8,544,545,,,0,0.0,0
Louis Vasquez,5001,G,DEN,19,0,10,78.9,100.0,126,23.3,126,81.3,0,100.0,541,541,,,0,0.0,0
Zane Beadles,5570,G,DEN,19,0,10,77.6,100.0,127,23.6,127,79.5,1,100.0,538,538,,,0,0.0,0
Manuel Ramirez,3733,C,DEN,19,0,10,76.2,100.0,127,23.6,127,83.7,4,100.0,538,538,,,0,0.0,0
J.R. Sweezy,7209,G,SEA,18,0,29,57.9,100.0,71,13.3,71,67.9,1,100.0,535,535,,,0,0.0,0
Logan Mankins,2249,G,NE,18,0,19,67.8,100.0,192,36.0,192,77.5,2,100.0,534,534,,,0,0.0,0
Anthony Davis,5536,T,SF,19,0,28,66.8,100.0,276,52.0,276,71.6,1,100.0,531,531,,,0,0.0,0
Jonathan Goodwin,1146,C,SF,19,0,28,62.5,100.0,279,53.0,279,67.0,0,100.0,526,526,,,0,0.0,0
Joe Staley,3644,T,SF,19,0,28,71.6,100.0,272,52.6,272,74.5,0,100.0,517,517,,,0,0.0,0
Eric Wood,4951,C,BUF,16,1,4,84.4,100.0,77,14.9,77,66.9,3,100.0,516,516,,,0,0.0,0
Cordy Glenn,7045,T,BUF,16,0,4,69.6,100.0,77,14.9,77,76.1,1,100.0,516,516,,,0,0.0,0
Erik Pears,2737,T,BUF,16,0,4,36.2,100.0,77,14.9,77,60.2,0,100.0,516,516,,,0,0.0,0
Dan Connolly,2540,G,NE,18,0,19,65.7,100.0,181,35.2,181,68.5,0,100.0,514,514,,,0,0.0,0
Tom Brady,698,QB,NE,18,0,19,60.0,100.0,194,37.7,194,60.0,0,94.3,514,545,,,0,0.0,0
Kraig Urbik,5002,G,BUF,16,0,4,83.1,100.0,76,14.9,76,71.6,0,100.0,510,510,,,0,0.0,0
Orlando Franklin,6198,T,DEN,18,0,10,66.2,100.0,120,23.6,120,73.3,1,100.0,509,509,,,0,0.0,0
Philip Rivers,1725,QB,SD,18,0,27,60.0,100.0,141,27.8,141,60.0,0,97.3,508,522,,,0,0.0,0
Evan Mathis,2296,G,PHI,17,0,24,93.8,100.0,110,21.8,110,94.8,1,100.0,504,504,,,0,0.0,0
Lane Johnson,7786,T,PHI,17,1,24,92.8,100.0,110,21.8,110,84.5,3,100.0,504,504,,,0,0.0,0
Todd Herremans,2343,G,PHI,17,0,24,77.4,100.0,110,21.8,110,84.1,2,100.0,504,504,,,0,0.0,0
Nate Solder,6169,T,NE,17,0,19,71.1,100.0,187,37.3,187,80.6,1,100.0,501,501,,,0,0.0,0
D.J. Fluker,7792,T,SD,17,0,27,65.1,100.0,131,26.3,131,70.5,0,100.0,499,499,,,0,0.0,0
Jason Kelce,6343,C,PHI,17,0,24,94.8,100.0,110,22.2,110,87.2,2,100.0,496,496,,,0,0.0,0
Chris Clark,4623,T,DEN,18,0,10,90.7,100.0,118,24.0,118,80.8,2,100.0,491,491,,,0,0.0,0
Jeromey Clary,3132,G,SD,16,0,27,57.1,100.0,131,26.7,131,57.4,3,100.0,490,490,,,0,0.0,0
Nick Hardwick,1787,C,SD,18,0,27,64.5,100.0,137,28.3,137,71.3,0,100.0,484,484,,,0,0.0,0
Peyton Manning,327,QB,DEN,19,1,10,60.0,99.2,121,25.2,122,60.0,1,93.2,480,515,,,0,0.0,0
Russell Wilson,7077,QB,SEA,19,0,29,60.0,97.2,70,14.6,72,60.0,0,90.4,479,530,,,0,0.0,0
Demaryius Thomas,5547,WR,DEN,19,0,10,68.5,100.0,113,23.9,113,79.7,0,100.0,472,472,,,0,0.0,0
D'Brickashaw Ferguson,2949,T,NYJ,16,0,22,55.2,100.0,138,29.4,138,61.9,0,100.0,469,469,,,0,0.0,0
Austin Howard,5847,T,NYJ,16,0,22,67.2,100.0,138,29.4,138,65.8,0,100.0,469,469,,,0,0.0,0
Nick Mangold,2974,C,NYJ,16,0,22,57.2,100.0,138,29.5,138,66.9,0,99.8,468,469,,,0,0.0,0
Byron Bell,6848,T,CAR,17,0,5,61.4,100.0,244,52.4,244,57.9,0,100.0,466,466,,,0,0.0,0
Josh Sitton,4449,G,GB,17,0,12,90.0,100.0,99,21.2,99,84.9,5,100.0,466,466,,,0,0.0,0
Andre Smith,4929,T,CIN,17,0,7,90.5,100.0,121,26.0,121,80.5,0,100.0,465,465,,,0,0.0,0
Colin Kaepernick,6188,QB,SF,19,0,28,60.0,96.1,268,58.0,279,60.0,0,88.2,462,524,,,0,0.0,0
Willie Colon,3076,G,NYJ,16,1,22,60.8,100.0,136,29.6,136,64.6,2,100.0,460,460,,,0,0.0,0
Ryan Kalil,3675,C,CAR,17,0,5,72.7,100.0,243,52.9,243,74.7,1,100.0,459,459,,,0,0.0,0
David Bakhtiari,7891,T,GB,17,0,12,81.2,100.0,97,21.2,97,61.9,0,100.0,458,458,,,0,0.0,0
T.J. Lang,5032,G,GB,17,0,12,84.7,100.0,95,21.0,95,80.3,0,100.0,452,452,,,0,0.0,0
Keenan Allen,7857,WR,SD,17,0,27,82.6,100.0,113,25.1,113,73.1,1,100.0,451,451,,,0,0.0,0
Jason Peters,2148,T,PHI,17,0,24,77.8,100.0,102,22.6,102,87.0,0,100.0,451,451,,,0,0.0,0
Brian De La Puente,4679,C,NO,18,0,20,70.2,100.0,106,23.5,106,70.8,2,100.0,451,451,,,0,0.0,0
Ben Grubbs,3645,G,NO,18,0,20,72.2,100.0,106,23.5,106,76.1,1,100.0,451,451,,,0,0.0,0
Greg Olsen,3647,TE,CAR,17,0,5,64.9,100.0,234,52.0,234,67.2,0,100.0,450,450,,,0,0.0,0
Vernon Davis,2951,TE,SF,18,0,28,71.1,100.0,234,52.1,234,67.8,1,100.0,449,449,,,0,0.0,0
Evan Smith,5390,C,GB,17,0,12,75.7,100.0,97,21.7,97,80.1,1,100.0,448,448,,,0,0.0,0
Eric Decker,5611,WR,DEN,19,0,10,91.2,100.0,115,25.8,115,88.6,0,100.0,446,446,,,0,0.0,0
Jordan Gross,1324,T,CAR,17,0,5,80.0,100.0,235,52.7,235,72.9,0,100.0,446,446,,,0,0.0,0
Rob Sims,3073,G,DET,16,1,11,62.0,100.0,132,29.7,132,66.5,3,100.0,444,444,,,0,0.0,0
Larry Warford,7846,G,DET,16,0,11,74.8,100.0,132,29.7,132,80.0,1,100.0,444,444,,,0,0.0,0
Brent Celek,3778,TE,PHI,17,0,24,89.6,100.0,100,22.6,100,80.0,0,100.0,443,443,,,0,0.0,0
Julian Edelman,5156,WR,NE,18,0,19,73.1,100.0,165,37.2,165,67.1,2,99.6,443,445,,,0,0.0,0
Riley Cooper,5682,WR,PHI,17,0,24,69.6,100.0,95,21.5,95,63.6,0,100.0,442,442,,,0,0.0,0
Dominic Raiola,820,C,DET,16,0,11,80.5,100.0,132,29.9,132,84.2,0,100.0,441,441,,,0,0.0,0
Kyle Cook,3914,C,CIN,17,0,7,67.5,100.0,118,27.0,118,72.5,0,100.0,437,437,,,0,0.0,0
Andy Dalton,6187,QB,CIN,17,0,7,60.3,99.2,127,29.3,128,60.4,0,91.9,433,471,,,0,0.0,0
Michael Roos,2258,T,TEN,16,0,31,68.3,100.0,168,38.9,168,82.0,0,100.0,432,432,,,0,0.0,0
Will Montgomery,3179,C,WAS,16,1,32,74.9,100.0,59,13.7,59,81.3,4,100.0,432,432,,,0,0.0,0
Tyler Polumbus,4581,T,WAS,16,0,32,57.3,100.0,59,13.7,59,71.2,1,100.0,432,432,,,0,0.0,0
Chance Warmack,7791,G,TEN,16,0,31,62.2,100.0,168,38.9,168,71.7,2,100.0,432,432,,,0,0.0,0
Riley Reiff,7029,T,DET,16,0,11,77.6,100.0,128,29.6,128,68.0,1,100.0,432,432,,,0,0.0,0
Chris Chester,3001,G,WAS,16,0,32,57.4,100.0,59,13.7,59,73.5,3,100.0,432,432,,,0,0.0,0
Trent Williams,5529,T,WAS,16,0,32,72.0,100.0,59,13.7,59,89.1,0,100.0,431,431,,,0,0.0,0
Jordy Nelson,4350,WR,GB,17,0,12,67.9,100.0,94,21.9,94,68.7,0,100.0,430,430,,,0,0.0,0
A.J. Green,6156,WR,CIN,17,0,7,57.2,100.0,106,24.7,106,68.1,2,100.0,430,430,,,0,0.0,0
Kory Lichtensteiger,4422,G,WAS,16,1,32,48.0,100.0,59,13.7,59,71.8,1,100.0,430,430,,,0,0.0,0
Andy Levitre,4974,G,TEN,16,0,31,71.6,100.0,168,39.4,168,81.4,2,100.0,426,426,,,0,0.0,0
Paul Fanaika,5137,G,ARZ,16,0,1,62.2,100.0,81,19.0,81,57.0,1,100.0,426,426,,,0,0.0,0
Lyle Sendlein,4062,C,ARZ,16,0,1,58.5,100.0,81,19.1,81,71.8,1,99.8,425,426,,,0,0.0,0
Max Unger,4972,C,SEA,16,0,29,68.0,100.0,55,12.9,55,68.6,3,100.0,425,425,,,0,0.0,0
Demar Dotson,5410,T,TB,16,0,30,79.1,100.0,127,30.1,127,74.8,1,100.0,422,422,,,0,0.0,0
DeSean Jackson,4363,WR,PHI,17,0,24,62.6,100.0,102,24.2,102,73.6,1,99.1,421,425,,,0,0.0,0
Daryn Colledge,2992,G,ARZ,16,0,1,61.0,100.0,81,19.3,81,62.4,2,100.0,420,420,,,0,0.0,0
Donald Penn,3459,T,TB,16,0,30,63.7,100.0,125,29.8,125,74.2,1,100.0,419,419,,,0,0.0,0
Don Barclay,7703,T,GB,15,0,12,66.6,100.0,91,21.9,91,60.3,0,100.0,416,416,,,0,0.0,0
Zach Strief,3155,T,NO,17,0,20,66.2,100.0,90,21.7,90,67.2,2,100.0,414,414,,,0,0.0,0
Eric Winston,3011,T,ARZ,16,0,1,56.1,100.0,78,18.8,78,68.5,0,100.0,414,414,,,0,0.0,0
Matthew Stafford,4924,QB,DET,16,0,11,60.0,99.2,131,31.6,132,60.0,0,94.1,414,440,,,0,0.0,0
Marshal Yanda,3702,G,BLT,16,0,3,61.3,100.0,83,20.1,83,82.5,1,100.0,413,413,,,0,0.0,0
Gino Gradkowski,7098,C,BLT,16,0,3,78.8,100.0,83,20.1,83,71.7,1,99.8,412,413,,,0,0.0,0
Chris Myers,2417,C,HST,16,0,13,80.1,100.0,86,20.9,86,92.3,0,100.0,411,411,,,0,0.0,0
Jeremy Zuttah,4397,C,TB,16,0,30,69.5,100.0,125,30.6,125,79.2,4,100.0,408,408,,,0,0.0,0
Michael Hoomanawanui,5655,TE,NE,15,1,19,51.1,100.0,132,32.4,132,60.4,2,100.0,408,408,,,0,0.0,0
Drew Brees,802,QB,NO,18,0,20,60.0,100.0,102,25.0,102,60.0,0,93.8,408,435,,,0,0.0,0
Zach Miller,3654,TE,SEA,17,0,29,66.8,100.0,57,14.0,57,69.5,2,100.0,406,406,,,0,0.0,0
Gosder Cherilus,4331,T,IND,18,0,14,65.9,100.0,214,52.8,214,69.1,1,100.0,405,405,,,0,0.0,0
Michael Oher,4946,T,BLT,16,0,3,51.4,100.0,81,20.0,81,62.9,0,100.0,404,404,,,0,0.0,0
Khalif Barnes,2269,T,OAK,16,0,23,48.4,100.0,179,44.3,179,48.9,2,100.0,404,404,,,0,0.0,0
Davin Joseph,2968,G,TB,16,0,30,58.4,100.0,121,30.0,121,50.8,3,100.0,403,403,,,0,0.0,0
Carson Palmer,1317,QB,ARZ,16,0,1,60.0,100.0,79,19.7,79,60.0,0,95.0,402,423,,,0,0.0,0
Geno Smith,7820,QB,NYJ,16,1,22,62.8,96.9,126,31.3,130,62.9,2,90.7,402,443,,,0,0.0,0
Anthony Castonzo,6174,T,IND,18,0,14,72.5,100.0,213,53.1,213,73.2,0,100.0,401,401,,,0,0.0,0
Joe Flacco,4332,QB,BLT,16,0,3,60.0,100.0,83,20.8,83,60.8,0,97.1,399,411,,,0,0.0,0
Andrew Whitworth,3000,T,CIN,15,0,7,91.0,100.0,107,26.8,107,90.7,2,100.0,399,399,,,0,0.0,0
Rodney Hudson,6207,C,KC,16,0,16,67.6,100.0,97,24.4,97,70.1,1,100.0,397,397,,,0,0.0,0
Kyle Long,7801,G,CHI,16,0,6,65.0,100.0,122,30.9,122,67.7,0,100.0,395,395,,,0,0.0,0
Matt Slauson,5117,G,CHI,16,0,6,86.2,100.0,122,30.9,122,78.0,1,100.0,395,395,,,0,0.0,0
Roberto Garza,856,C,CHI,16,0,6,67.1,100.0,122,30.9,122,68.7,2,100.0,395,395,,,0,0.0,0
Matt Kalil,7010,T,MIN,16,0,18,63.7,100.0,97,24.6,97,64.2,0,100.0,395,395,,,0,0.0,0
Jermon Bushrod,3741,T,CHI,16,0,6,65.2,100.0,122,30.9,122,72.7,1,100.0,395,395,,,0,0.0,0
Jermaine Gresham,5546,TE,CIN,15,0,7,73.4,100.0,112,28.4,112,61.2,3,100.0,394,394,,,0,0.0,0
James Carpenter,6177,G,SEA,18,0,29,64.5,100.0,41,10.4,41,62.0,0,100.0,394,394,,,0,0.0,0
Mike Iupati,5542,G,SF,15,0,28,65.0,100.0,204,51.8,204,71.4,0,100.0,394,394,,,0,0.0,0
Julius Thomas,6281,TE,DEN,17,0,10,58.5,100.0,85,21.7,85,62.9,1,100.0,392,392,,,0,0.0,0
Jahri Evans,3053,G,NO,16,0,20,65.0,100.0,90,23.0,90,72.1,1,100.0,392,392,,,0,0.0,0
Robert Woods,7822,WR,BUF,14,0,4,85.4,100.0,62,15.8,62,71.8,1,99.5,392,394,,,0,0.0,0
Torrey Smith,6210,WR,BLT,16,0,3,70.3,100.0,73,18.7,73,69.1,0,100.0,391,391,,,0,0.0,0
John Sullivan,4501,C,MIN,16,0,18,69.9,100.0,95,24.4,95,84.5,0,100.0,390,390,,,0,0.0,0
Travelle Wharton,1815,G,CAR,17,0,5,73.1,100.0,206,53.1,206,69.6,2,100.0,388,388,,,0,0.0,0
Anquan Boldin,1369,WR,SF,19,1,28,87.3,99.5,203,52.5,204,82.2,1,99.5,387,389,,,0,0.0,0
Antonio Gates,1609,TE,SD,18,0,27,53.4,100.0,108,28.0,108,63.9,2,100.0,386,386,,,0,0.0,0
Kevin Boothe,3121,G,NYG,16,0,21,60.9,100.0,137,35.7,137,60.8,1,100.0,384,384,,,0,0.0,0
Justin Pugh,7800,T,NYG,16,0,21,83.5,100.0,137,35.7,137,76.2,2,100.0,384,384,,,0,0.0,0
Vincent Brown,6234,WR,SD,18,0,27,53.8,100.0,110,28.8,110,68.8,0,100.0,382,382,,,0,0.0,0
Paul McQuistan,3014,G,SEA,18,0,29,84.1,100.0,57,15.0,57,60.4,0,100.0,379,379,,,0,0.0,0
Vincent Jackson,2278,WR,TB,16,0,30,66.1,100.0,113,29.9,113,67.3,1,99.7,378,379,,,0,0.0,0
Brandon Brooks,7078,G,HST,15,0,13,83.2,100.0,80,21.2,80,91.0,0,100.0,378,378,,,0,0.0,0
Cam Newton,6153,QB,CAR,17,0,5,60.5,85.5,207,55.1,242,61.2,0,82.1,376,458,,,0,0.0,0
Ben Roethlisberger,1732,QB,PIT,16,0,25,60.7,100.0,73,19.6,73,60.9,0,96.4,372,386,,,0,0.0,0
Jordan Mills,7945,T,CHI,16,0,6,59.2,100.0,116,31.2,116,63.6,0,100.0,372,372,,,0,0.0,0
Chris Williams,4328,G,SL,16,0,26,51.3,100.0,174,46.9,174,60.1,1,100.0,371,371,,,0,0.0,0
Andrew Luck,7007,QB,IND,18,0,14,60.0,100.0,209,56.5,209,60.0,0,93.9,370,394,,,0,0.0,0
Charlie Johnson,3144,G,MIN,15,0,18,66.9,100.0,93,25.1,93,60.6,1,100.0,370,370,,,0,0.0,0
Brad Meester,627,C,JAX,16,0,15,75.2,100.0,125,33.9,125,59.7,1,100.0,369,369,,,0,0.0,0
Brandon LaFell,5602,WR,CAR,17,0,5,75.8,100.0,192,52.0,192,74.2,1,99.2,369,372,,,0,0.0,0
Uche Nwaneri,3765,G,JAX,16,0,15,58.6,100.0,125,33.9,125,65.3,1,100.0,369,369,,,0,0.0,0
Scott Chandler,3745,TE,BUF,16,0,4,63.7,100.0,63,17.1,63,65.5,0,100.0,369,369,,,0,0.0,0
Kris Durham,6259,WR,DET,16,0,11,73.3,100.0,114,31.1,114,68.5,1,100.0,366,366,,,0,0.0,0
King Dunlap,4544,T,SD,13,0,27,90.7,100.0,89,24.3,89,90.6,1,100.0,366,366,,,0,0.0,0
Will Beatty,4983,T,NYG,16,0,21,76.4,100.0,134,36.7,134,73.7,1,100.0,365,365,,,0,0.0,0
Wade Smith,1393,G,HST,16,0,13,78.9,100.0,80,21.9,80,67.8,0,100.0,365,365,,,0,0.0,0
Logan Paulsen,5795,TE,WAS,16,0,32,78.3,100.0,52,14.2,52,69.9,2,100.0,365,365,,,0,0.0,0
Bryant McKinnie,1015,T,MIA,15,0,17,69.9,100.0,65,17.9,65,53.9,0,100.0,364,364,,,0,0.0,0
Larry Fitzgerald,1724,WR,ARZ,16,0,1,81.2,100.0,79,21.7,79,88.7,0,99.5,364,366,,,0,0.0,0
Doug Baldwin,6615,WR,SEA,19,0,29,72.3,100.0,53,14.6,53,72.6,0,99.5,363,365,,,0,0.0,0
David DeCastro,7640,G,PIT,15,0,25,86.5,100.0,73,20.2,73,80.9,0,100.0,362,362,,,0,0.0,0
Phil Loadholt,4977,T,MIN,15,0,18,79.1,100.0,91,25.2,91,84.8,0,100.0,361,361,,,0,0.0,0
Andre Johnson,1319,WR,HST,16,0,13,71.4,100.0,74,20.7,74,68.9,0,100.0,358,358,,,0,0.0,0
Eugene Monroe,4931,T,BLT,15,0,3,79.4,100.0,94,26.4,94,74.2,0,100.0,356,356,,,0,0.0,0
Jake Long,4315,T,SL,15,0,26,93.3,100.0,169,47.6,169,91.2,0,100.0,355,355,,,0,0.0,0
Brandon Pettigrew,4943,TE,DET,14,0,11,67.8,100.0,114,32.1,114,68.0,1,100.0,355,355,,,0,0.0,0
Mike McGlynn,4423,G,IND,17,0,14,62.9,100.0,197,55.6,197,54.4,0,100.0,354,354,,,0,0.0,0
Stefen Wisniewski,6200,C,OAK,14,0,23,75.6,100.0,162,45.8,162,76.8,1,100.0,354,354,,,0,0.0,0
Duane Brown,4340,T,HST,14,0,13,72.5,100.0,69,19.7,69,79.2,3,100.0,351,351,,,0,0.0,0
Brian Winters,7853,G,NYJ,12,0,22,57.4,100.0,102,29.1,102,60.8,4,100.0,351,351,,,0,0.0,0
Eli Manning,1722,QB,NYG,16,0,21,60.0,99.2,132,37.7,133,60.0,0,96.7,350,362,,,0,0.0,0
Chad Rinehart,4410,G,SD,13,0,27,60.9,100.0,91,26.0,91,68.6,1,100.0,350,350,,,0,0.0,0
Brandon Marshall,3064,WR,CHI,16,0,6,99.9,100.0,105,30.2,105,96.3,1,100.0,348,348,,,0,0.0,0
Golden Tate,5585,WR,SEA,19,0,29,62.0,100.0,57,16.4,57,63.2,0,99.1,347,350,,,0,0.0,0
Pierre Garcon,4519,WR,WAS,16,0,32,69.4,100.0,44,12.7,44,78.5,2,99.4,346,348,,,0,0.0,0
